cod_munic;munic;ano;mes;pop
3300100;Angra dos Reis;2006;7;147264
3300159;Aperibé;2006;7;9271
3300209;Araruama;2006;7;99259
3300225;Areal;2006;7;10787
3300233;Armação dos Búzios;2006;7;23347
3300258;Arraial do Cabo;2006;7;26111
3300308;Barra do Piraí;2006;7;92216
3300407;Barra Mansa;2006;7;174955
3300456;Belford Roxo;2006;7;455065
3300506;Bom Jardim;2006;7;24224
3300605;Bom Jesus do Itabapoana;2006;7;34698
3300704;Cabo Frio;2006;7;159702
3300803;Cachoeiras de Macacu;2006;7;51904
3300902;Cambuci;2006;7;14764
3301009;Campos dos Goytacazes;2006;7;440142
3301108;Cantagalo;2006;7;19832
3300936;Carapebus;2006;7;11235
3301157;Cardoso Moreira;2006;7;12598
3301207;Carmo;2006;7;16542
3301306;Casimiro de Abreu;2006;7;29321
3300951;Comendador Levy Gasparian;2006;7;8077
3301405;Conceição de Macabu;2006;7;20204
3301504;Cordeiro;2006;7;19678
3301603;Duas Barras;2006;7;10688
3301702;Duque de Caxias;2006;7;822275
3301801;Engenheiro Paulo de Frontin;2006;7;12797
3301850;Guapimirim;2006;7;45571
3301876;Iguaba Grande;2006;7;19356
3301900;Itaboraí;2006;7;205241
3302007;Itaguaí;2006;7;97321
3302056;Italva;2006;7;13467
3302106;Itaocara;2006;7;22941
3302205;Itaperuna;2006;7;92083
3302254;Itatiaia;2006;7;27092
3302270;Japeri;2006;7;90405
3302304;Laje do Muriaé;2006;7;7653
3302403;Macaé;2006;7;173011
3302452;Macuco;2006;7;5112
3302502;Magé;2006;7;218468
3302601;Mangaratiba;2006;7;31300
3302700;Maricá;2006;7;104047
3302809;Mendes;2006;7;17674
3302858;Mesquita;2006;7;168242
3302908;Miguel Pereira;2006;7;24343
3303005;Miracema;2006;7;26931
3303104;Natividade;2006;7;15099
3303203;Nilópolis;2006;7;155929
3303302;Niterói;2006;7;476117
3303401;Nova Friburgo;2006;7;178566
3303500;Nova Iguaçu;2006;7;783554
3303609;Paracambi;2006;7;44342
3303708;Paraíba do Sul;2006;7;39573
3303807;Paraty;2006;7;34106
3303856;Paty do Alferes;2006;7;25778
3303906;Petrópolis;2006;7;292129
3303955;Pinheiral;2006;7;21364
3304003;Piraí;2006;7;24548
3304102;Porciúncula;2006;7;17013
3304110;Porto Real;2006;7;14621
3304128;Quatis;2006;7;11924
3304144;Queimados;2006;7;131338
3304151;Quissamã;2006;7;17303
3304201;Resende;2006;7;113432
3304300;Rio Bonito;2006;7;53128
3304409;Rio Claro;2006;7;16936
3304508;Rio das Flores;2006;7;8174
3304524;Rio das Ostras;2006;7;69011
3304557;Rio de Janeiro;2006;7;6131201
3304607;Santa Maria Madalena;2006;7;10383
3304706;Santo Antônio de Pádua;2006;7;39819
3304805;São Fidélis;2006;7;37240
3304755;São Francisco de Itabapoana;2006;7;41270
3304904;São Gonçalo;2006;7;954780
3305000;São João da Barra;2006;7;30618
3305109;São João de Meriti;2006;7;454972
3305133;São José de Ubá;2006;7;6761
3305158;São José do Vale do Rio Preto;2006;7;19856
3305208;São Pedro da Aldeia;2006;7;77034
3305307;São Sebastião do Alto;2006;7;8694
3305406;Sapucaia;2006;7;17377
3305505;Saquarema;2006;7;64609
3305554;Seropédica;2006;7;72734
3305604;Silva Jardim;2006;7;21315
3305703;Sumidouro;2006;7;14606
3305752;Tanguá;2006;7;28769
3305802;Teresópolis;2006;7;152952
3305901;Trajano de Moraes;2006;7;10188
3306008;Três Rios;2006;7;75202
3306107;Valença;2006;7;69576
3306156;Varre-Sai;2006;7;8790
3306206;Vassouras;2006;7;33194
3306305;Volta Redonda;2006;7;251388
3300100;Angra dos Reis;2006;8;147704
3300159;Aperibé;2006;8;9290
3300209;Araruama;2006;8;99512
3300225;Areal;2006;8;10800
3300233;Armação dos Búzios;2006;8;23430
3300258;Arraial do Cabo;2006;8;26144
3300308;Barra do Piraí;2006;8;92269
3300407;Barra Mansa;2006;8;175014
3300456;Belford Roxo;2006;8;455359
3300506;Bom Jardim;2006;8;24247
3300605;Bom Jesus do Itabapoana;2006;8;34713
3300704;Cabo Frio;2006;8;160224
3300803;Cachoeiras de Macacu;2006;8;51953
3300902;Cambuci;2006;8;14765
3301009;Campos dos Goytacazes;2006;8;440624
3301108;Cantagalo;2006;8;19832
3300936;Carapebus;2006;8;11277
3301157;Cardoso Moreira;2006;8;12598
3301207;Carmo;2006;8;16560
3301306;Casimiro de Abreu;2006;8;29438
3300951;Comendador Levy Gasparian;2006;8;8079
3301405;Conceição de Macabu;2006;8;20224
3301504;Cordeiro;2006;8;19693
3301603;Duas Barras;2006;8;10693
3301702;Duque de Caxias;2006;8;822948
3301801;Engenheiro Paulo de Frontin;2006;8;12806
3301850;Guapimirim;2006;8;45689
3301876;Iguaba Grande;2006;8;19424
3301900;Itaboraí;2006;8;205501
3302007;Itaguaí;2006;8;97556
3302056;Italva;2006;8;13480
3302106;Itaocara;2006;8;22940
